,UserName,Repositry name,Rating,Url,Topic
126,ansible,awx,12645,https://github.com/ansible/awx,Ansible
127,easzlab,kubeasz,9523,https://github.com/easzlab/kubeasz,Ansible
128,ansible-semaphore,semaphore,7766,https://github.com/ansible-semaphore/semaphore,Ansible
129,geerlingguy,ansible-for-devops,7490,https://github.com/geerlingguy/ansible-for-devops,Ansible
130,khuedoan,homelab,7174,https://github.com/khuedoan/homelab,Ansible
131,Tikam02,DevOps-Guide,7111,https://github.com/Tikam02/DevOps-Guide,Ansible
132,geerlingguy,mac-dev-playbook,5496,https://github.com/geerlingguy/mac-dev-playbook,Ansible
133,rundeck,rundeck,5089,https://github.com/rundeck/rundeck,Ansible
134,KubeOperator,KubeOperator,4810,https://github.com/KubeOperator/KubeOperator,Ansible
135,netbootxyz,netboot.xyz,4597,https://github.com/netbootxyz/netboot.xyz,Ansible
136,clong,DetectionLab,4302,https://github.com/clong/DetectionLab,Ansible
137,ansible,molecule,3672,https://github.com/ansible/molecule,Ansible
138,opendevops-cn,opendevops,3501,https://github.com/opendevops-cn/opendevops,Ansible
139,dev-sec,ansible-collection-hardening,3378,https://github.com/dev-sec/ansible-collection-hardening,Ansible
140,public-apis,public-apis,257249,https://github.com/public-apis/public-apis,API
141,neovim,neovim,69621,https://github.com/neovim/neovim,API
142,tiangolo,fastapi,62828,https://github.com/tiangolo/fastapi,API
143,strapi,strapi,56135,https://github.com/strapi/strapi,API
144,hoppscotch,hoppscotch,54702,https://github.com/hoppscotch/hoppscotch,API
145,ocornut,imgui,50471,https://github.com/ocornut/imgui,API
146,meilisearch,meilisearch,38896,https://github.com/meilisearch/meilisearch,API
147,slatedocs,slate,35462,https://github.com/slatedocs/slate,API
148,Kong,insomnia,30887,https://github.com/Kong/insomnia,API
149,hasura,graphql-engine,30132,https://github.com/hasura/graphql-engine,API
150,httpie,cli,29270,https://github.com/httpie/cli,API
151,ccxt,ccxt,29173,https://github.com/ccxt/ccxt,API
152,Binaryify,NeteaseCloudMusicApi,29110,https://github.com/Binaryify/NeteaseCloudMusicApi,API
153,trpc,trpc,28811,https://github.com/trpc/trpc,API
154,YMFE,yapi,26521,https://github.com/YMFE/yapi,API
155,encode,django-rest-framework,26366,https://github.com/encode/django-rest-framework,API
156,littlecodersh,ItChat,24251,https://github.com/littlecodersh/ItChat,API
157,directus,directus,23209,https://github.com/directus/directus,API
158,microsoft,api-guidelines,21833,https://github.com/microsoft/api-guidelines,API
159,shieldfy,API-Security-Checklist,21379,https://github.com/shieldfy/API-Security-Checklist,API
160,arendst,Tasmota,20257,https://github.com/arendst/Tasmota,Arduino
161,MarlinFirmware,Marlin,15273,https://github.com/MarlinFirmware/Marlin,Arduino
162,arduino,Arduino,13732,https://github.com/arduino/Arduino,Arduino
163,tinygo-org,tinygo,13472,https://github.com/tinygo-org/tinygo,Arduino
164,rwaldron,johnny-five,13090,https://github.com/rwaldron/johnny-five,Arduino
165,SpacehuhnTech,esp8266_deauther,12136,https://github.com/SpacehuhnTech/esp8266_deauther,Arduino
166,espressif,arduino-esp32,11323,https://github.com/espressif/arduino-esp32,Arduino
167,gurugio,lowlevelprogramming-university,8796,https://github.com/gurugio/lowlevelprogramming-university,Arduino
168,hybridgroup,gobot,8436,https://github.com/hybridgroup/gobot,Arduino
169,platformio,platformio-core,7032,https://github.com/platformio/platformio-core,Arduino
170,bblanchon,ArduinoJson,6288,https://github.com/bblanchon/ArduinoJson,Arduino
171,tzapu,WiFiManager,5990,https://github.com/tzapu/WiFiManager,Arduino
172,olikraus,u8g2,4242,https://github.com/olikraus/u8g2,Arduino
173,ClemensElflein,OpenMower,4093,https://github.com/ClemensElflein/OpenMower,Arduino
174,Arduino-IRremote,Arduino-IRremote,4062,https://github.com/Arduino-IRremote/Arduino-IRremote,Arduino
175,arduino,arduino-cli,4003,https://github.com/arduino/arduino-cli,Arduino
176,hybridgroup,cylon,3984,https://github.com/hybridgroup/cylon,Arduino
177,blynkkk,blynk-library,3713,https://github.com/blynkkk/blynk-library,Arduino
178,Serial-Studio,Serial-Studio,3647,https://github.com/Serial-Studio/Serial-Studio,Arduino
179,NerdLang,nerd,3498,https://github.com/NerdLang/nerd,Arduino
180,bitwarden,server,13197,https://github.com/bitwarden/server,ASP.NET
181,dotnet,AspNetCore.Docs,11914,https://github.com/dotnet/AspNetCore.Docs,ASP.NET
182,aspnetboilerplate,aspnetboilerplate,11280,https://github.com/aspnetboilerplate/aspnetboilerplate,ASP.NET
183,abpframework,abp,10422,https://github.com/abpframework/abp,ASP.NET
184,nopSolutions,nopCommerce,8443,https://github.com/nopSolutions/nopCommerce,ASP.NET
185,ElectronNET,Electron.NET,6911,https://github.com/ElectronNET/Electron.NET,ASP.NET
186,thangchung,clean-code-dotnet,6373,https://github.com/thangchung/clean-code-dotnet,ASP.NET
